province,province_language,inscription_count,letter_count,mean_date_range,median_date_range,date_range_std,date_range_se,cv_date_range,avg_variance_date_range,delta_t
Achaia,Greek,564,35285,95.66666666666667,59.0,93.4807028208581,3.9362476731617004,97.71502037023494,13400.083333333334,115.75872897251998
Aegyptus,Greek,277,54185,36.74007220216607,4.0,75.1269766963306,4.513942551219231,204.48238719547584,37408.333333333336,193.41234017852463
Aemilia / Regio VIII,Latin,1172,115962,84.53754266211604,99.0,55.59188044807522,1.6238561665426763,65.75999100218431,7450.083333333333,86.31386524384905
Africa proconsularis,Latin,3518,247838,83.92353610005685,74.0,83.43380274329958,1.4066761390419742,99.41645290520958,353290.0833333333,594.3821021307197
Alpes Cottiae,Latin,468,10581,228.40811965811966,199.0,125.44458879913279,5.798678168522677,54.92124754010398,15480.083333333334,124.41898301036436
Alpes Graiae,Latin,77,3341,165.0909090909091,149.0,121.06242211292026,13.796343411588412,73.33076229306845,13266.75,115.18137870333034
Alpes Maritimae,Latin,400,17030,156.75,99.0,124.57793405790343,6.228896702895172,79.47555601780122,13266.75,115.18137870333034
Alpes Poeninae,Latin,210,6677,200.3,220.0,122.17855198271627,8.431121081359201,60.99777932237457,20750.083333333332,144.04889216281163
Apulia et Calabria / Regio II,Latin,3132,152338,81.83588761174968,80.0,50.65315845303968,0.9050981017771474,61.896021331559545,53466.75,231.22878281044513
Aquitani(c)a,Latin,919,27323,132.80413492927096,99.0,114.81563674169156,3.787418384602082,86.45486588413853,20750.083333333332,144.04889216281163
Arabia,Greek,176,16379,19.380681818181817,1.0,48.19006977246791,3.6324631830982606,248.65002286585613,5292.0,72.74613391789285
Armenia,Greek,3,228,1.3333333333333333,1.0,1.5275252316519468,0.881917103688197,114.56439237389601,0.75,0.8660254037844386
Asia,Greek,713,117573,37.330995792426364,10.0,67.2685366144424,2.5192264942598737,180.1948627046528,53333.333333333336,230.9401076758503
Baetica,Latin,2593,164314,71.70574623987659,59.0,48.073079995031826,0.94406237501395,67.04215842648563,13400.083333333334,115.75872897251998
Barbaricum,,30,793,99.73333333333333,67.5,93.1824067060957,17.012702038516426,93.43155752616548,7154.083333333333,84.58181443628017
Belgica,Latin,1246,31063,138.9895666131621,124.0,94.33810366285508,2.6725640418046153,67.87423398866933,13266.75,115.18137870333034
Belgica | Germania inferior,,49,2247,121.79591836734694,99.0,72.70774247854578,10.386820354077969,59.69637033258618,5590.083333333333,74.76685986005653
Belgica | Germania superior,,703,17507,181.45092460881935,199.0,93.41257363418238,3.5231219411048054,51.48090252808891,13333.333333333334,115.47005383792515
Britannia,Latin,4647,118901,129.75704755756402,129.0,95.39982553752317,1.3994624311920718,73.52188365352642,13266.75,115.18137870333034
Bruttium et Lucania / Regio III,Latin,909,68137,86.54235423542355,99.0,52.978339220950126,1.7571805933468627,61.21666054615489,11346.75,106.52112466548596
Cappadocia,Greek,140,11520,21.464285714285715,2.0,46.47478015153603,3.9278358182643087,216.5214383099848,7450.083333333333,86.31386524384905
Cilicia,Greek,57,6407,54.43859649122807,13.0,88.05376148854008,11.663005625285917,161.74877231217482,7450.083333333333,86.31386524384905
Corsica,Latin,140,6226,165.95,149.0,123.76552006449346,10.460095587119422,74.58000606477461,20750.083333333332,144.04889216281163
Creta et Cyrenaica,Greek,68,10649,52.35294117647059,31.0,55.18375401907955,6.692013136434356,105.40717059824185,3333.3333333333335,57.735026918962575
Cyprus,Greek,17,1670,27.235294117647058,1.0,62.70220232552113,15.207517832174878,230.22406901379247,5166.75,71.88010851410841
Dacia,Latin,4870,162759,74.91724845995893,69.0,61.281749268548964,0.87814588992166,81.79925254636422,20750.083333333332,144.04889216281163
Dalmatia,Latin,7088,270492,170.38205417607224,149.0,109.38369197282142,1.2992440103896759,64.19906867643742,29900.083333333332,172.9164056222929
Etruria / Regio VII,Latin,2801,147334,86.35058907533023,83.0,68.01734474573385,1.2851775176171771,78.76882540592412,13266.75,115.18137870333034
Galatia,Greek,348,38193,27.60632183908046,2.0,59.50775664675615,3.1899505910532184,215.5584398154589,7450.083333333333,86.31386524384905
Gallia Narbonensis,Latin,1192,56346,63.986577181208055,49.0,70.35950495295526,2.037908343654104,109.95978852517656,37296.75,193.1236650439298
Germania inferior,Latin,3390,83362,116.78230088495575,99.0,83.66528554500348,1.436962545964066,71.64209380274464,29900.083333333332,172.9164056222929
Germania superior,Latin,5874,162310,85.10980592441267,56.0,80.87063722467467,1.0551735447730175,95.0191771045714,20750.083333333332,144.04889216281163
Hispania citerior,Latin,6312,188149,103.27550697084918,99.0,79.60336023139706,1.0019542817831153,77.07864387813281,303372.0,550.792156806903
Italia,Latin,1,113,99.0,99.0,,,,0.0,0.0
Latium et Campania / Regio I,,18512,972304,74.30477528089888,78.0,53.0315849887718,0.38976957590376554,71.37035915698992,21845.333333333332,147.8016689125442
Liguria / Regio IX,Latin,852,35916,91.53403755868544,99.0,57.15982512736399,1.958263341649293,62.44652443165415,7450.083333333333,86.31386524384905
Lugudunensis,Latin,746,42663,95.0911528150134,99.0,71.2693708660016,2.6093570601985743,74.94847707298936,7450.083333333333,86.31386524384905
Lusitania,Latin,1685,59259,84.58516320474777,99.0,56.10628396538013,1.3668207170815223,66.33111746745543,16800.083333333332,129.61513543307098
Lycia et Pamphylia,Greek,66,9228,27.939393939393938,5.5,50.189449944992276,6.177894225161688,179.6368598898856,3300.0833333333335,57.446351784367764
Macedonia,Greek,996,59497,159.46987951807228,149.0,104.31911852019117,3.3054777599791167,65.41618946189081,13333.333333333334,115.47005383792515
Mauretania Caesariensis,Latin,723,63601,39.27524204702628,2.0,64.5397752214925,2.4002600670645347,164.32686816854164,7450.083333333333,86.31386524384905
Mauretania Tingitana,Latin,165,28221,17.09090909090909,3.0,34.89440834753631,2.716526005569805,204.16941054409548,3300.0833333333335,57.446351784367764
Mesopotamia,Greek,6,1925,36.166666666666664,0.0,80.09598408576217,32.699048576033185,221.4635504675452,3300.0833333333335,57.446351784367764
Moesia inferior,Latin,1952,150557,85.27407786885246,69.0,78.73810753918305,1.7821533270089975,92.33533742842529,29900.083333333332,172.9164056222929
Moesia superior,Latin,1380,89682,114.17246376811595,99.0,82.5054064795086,2.2209708835259967,72.26383994574815,29900.083333333332,172.9164056222929
Noricum,Latin,2761,119246,132.29011227816008,99.0,103.89376649931855,1.9772258870468387,78.53479350056496,29900.083333333332,172.9164056222929
Numidia,Latin,3014,134735,76.60816191108162,99.0,48.16785370459016,0.8773758399158722,62.875615995718746,20750.083333333332,144.04889216281163
Palaestina,Greek,170,9511,50.82941176470588,12.0,84.33800875966554,6.46842999477663,165.92363718485294,9075.0,95.26279441628824
Pannonia inferior,Latin,3132,154799,89.87452107279694,69.0,80.45872491813704,1.4376801253633458,89.5233976857209,29900.083333333332,172.9164056222929
Pannonia inferior | Pannonia superior,,2,42,84.0,84.0,63.63961030678928,45.0,75.7614408414158,675.0,25.98076211353316
Pannonia superior,Latin,4460,199597,128.57040358744393,99.0,102.44690658383439,1.534021406165277,79.6815625721807,29900.083333333332,172.9164056222929
Picenum / Regio V,Latin,1081,51305,86.72802960222016,80.0,59.74541699999111,1.8171540639780746,68.88824440496879,21084.083333333332,145.20359270119087
Pontus et Bithynia,Greek,169,19132,40.75739644970414,5.0,64.90758325966041,4.992891019973878,159.25350712663487,7450.083333333333,86.31386524384905
Provincia incerta,,15,945,106.26666666666667,99.0,90.72680078649516,23.425559233384913,85.37653775391641,7154.083333333333,84.58181443628017
Raetia,Latin,1034,50698,114.54932301740813,99.0,93.09560598312396,2.8951356277488958,81.27119701002175,29900.083333333332,172.9164056222929
Regnum Bospori,Greek,6,344,39.833333333333336,20.5,48.180563162614305,19.669632544723466,120.95538869275558,816.75,28.578838324886476
Roma,Latin,65457,2723515,106.37271796752066,99.0,65.56150349126563,0.25625411962459343,61.63375792586579,29900.083333333332,172.9164056222929
Samnium / Regio IV,Latin,4186,192591,90.4113712374582,99.0,53.382185553453546,0.8250812892618238,59.04366322821222,7500.0,86.60254037844386
Sardinia,Latin,1340,63962,90.25597014925373,79.0,66.74509378684319,1.8233370146835974,73.95089064631262,32760.75,180.99930939094767
Sicilia,Latin,672,34290,104.18303571428571,99.0,69.78222977634836,2.6919079555787477,66.98041509149434,27170.083333333332,164.83350185363815
Syria,Greek,575,40196,31.855652173913043,21.0,51.166242327200216,2.13377980767169,160.61903880624624,7450.083333333333,86.31386524384905
Thracia,Greek,278,36633,70.90287769784173,20.0,104.49276446541157,6.267059545270905,147.37450419250376,29900.083333333332,172.9164056222929
Transpadana / Regio XI,Latin,2434,120795,118.52095316351685,99.0,62.416238755748296,1.2651362719210244,52.662619637926845,20750.083333333332,144.04889216281163
Umbria / Regio VI,Latin,2763,141730,84.78248280854145,99.0,58.38288521549292,1.1106957525270627,68.86196686093169,26980.083333333332,164.25615158444853
Venetia et Histria / Regio X,Latin,5872,267082,85.74625340599455,99.0,52.51823363533467,0.6853573701548299,61.24842958055483,15194.083333333334,123.2642824719851
