year,endpoint,direction,observed,expected,ratio,ratio_ci_lo,ratio_ci_hi,raw_p,wy_p,holm_p
-14,not_before,dip,20.0,156.90854392330087,0.12746278500791064,0.07667972780764103,0.18243524283170695,4.999750012499375e-05,0.0001,0.00034998250087495624
27,not_before,dip,19.0,491.2469126534465,0.03867708785663897,0.022616061149165034,0.0581484162248671,4.999750012499375e-05,0.0001,0.00034998250087495624
97,not_before,dip,118.0,469.8873418674534,0.2511240237522415,0.20918834134936332,0.29167482182383536,4.999750012499375e-05,0.0001,0.00034998250087495624
192,not_before,dip,33.0,525.8418931133345,0.06275650615172176,0.04060527691617608,0.08461584579199552,4.999750012499375e-05,0.0001,0.00034998250087495624
193,not_before,dip,465.0,559.1917817943508,0.8315572852445979,0.7665211856365204,0.9004054069519042,4.999750012499375e-05,0.0001,0.00034998250087495624
212,not_before,spike,870.0,595.4351265287728,1.4611163521236425,1.384096422791481,1.5346310079097747,4.999750012499375e-05,0.0001,0.00034998250087495624
235,not_before,dip,121.0,385.9410618815138,0.313519373683922,0.26530991569161416,0.36051537171006204,4.999750012499375e-05,0.0001,0.00034998250087495624
-14,not_after,dip,14.0,156.90854392330087,0.08922394950553744,0.045514643844217065,0.13428894020616997,4.999750012499375e-05,0.6488,0.00034998250087495624
27,not_after,dip,17.0,491.2469126534465,0.03460581545067697,0.018581808265298604,0.05195919591933488,4.999750012499375e-05,0.6488,0.00034998250087495624
97,not_after,spike,500.0,469.8873418674534,1.064084846407803,0.9768027827143669,1.1492284148931502,0.1385930703464827,0.6488,0.1385930703464827
192,not_after,dip,221.0,525.8418931133345,0.42027841998577303,0.3687953181564808,0.47245142310857774,4.999750012499375e-05,0.6488,0.00034998250087495624
193,not_after,dip,77.0,559.1917817943508,0.1376987332555571,0.10980021562427282,0.16637773551046844,4.999750012499375e-05,0.6488,0.00034998250087495624
212,not_after,dip,99.0,595.4351265287728,0.1662649642071731,0.1362141128629446,0.19599897339940064,4.999750012499375e-05,0.6488,0.00034998250087495624
235,not_after,spike,716.0,385.9410618815138,1.8552055500635385,1.7326278388500214,1.985449030995369,4.999750012499375e-05,0.6488,0.00034998250087495624
