column,null_rate
language_EDCS,0.9997429629265038
inscr_process,0.9386829857863968
year_of_find,0.85254822179565
letter_size,0.8511481900761814
support_material,0.8459363532455032
depth_cm,0.8398877787074863
present_location,0.7975422880674641
width_cm,0.7913296473123219
height_cm,0.7890983467594188
support_objecttype,0.7480489792346858
type_of_inscription,0.718232678709127
keywords_term,0.716225601986295
trismegistos_uri,0.6875741716023254
diplomatic_text,0.6640798893099922
pleiades_id,0.6640033250753338
text_edition,0.6640033250753338
support_decoration,0.6640033250753338
last_update,0.6639978562014296
type_of_monument_clean,0.6639978562014296
province_label_clean,0.6639978562014296
type_of_inscription_clean,0.6639978562014296
findspot_clean,0.6639978562014296
modern_region_clean,0.6639978562014296
findspot_modern_clean,0.6639978562014296
material_clean,0.6639978562014296
findspot_ancient_clean,0.6639978562014296
clean_text_interpretive_sentence,0.6639978562014296
transcription,0.6639978562014296
country_clean,0.6639978562014296
work_status,0.6639978562014296
EDH-ID,0.6630189277725823
status_notation,0.39467769191645746
urban_context_city,0.22391757313251628
urban_context_pop_est,0.22391757313251628
inscr_type,0.18913006622806297
type_of_inscription_auto,0.13846094950588725
status,0.13822031905410356
partner_link,0.11631747906788513
raw_dating,0.035203141321170556
clean_text_interpretive_word_EDCS,0.012359655023434125
inscription,0.012359655023434125
province,0.012272153040967335
EDCS-ID,0.012272153040967335
place,0.012272153040967335
clean_text_interpretive_word,7.109536075426709e-05
clean_text_conservative,7.109536075426709e-05
people,0.0
LIST-ID,0.0
modern_region_certainty,0.0
findspot_ancient_certainty,0.0
province_label_certainty,0.0
country_certainty,0.0
type_of_inscription_certainty,0.0
type_of_monument_certainty,0.0
findspot_certainty,0.0
findspot_modern_certainty,0.0
Longitude,0.0
not_before,0.0
not_after,0.0
Latitude,0.0
urban_context,0.0
geometry,0.0
type_of_inscription_auto_prob,0.0
date_range,0.0
