column,null_rate,n_null,n_unique
language_EDCS,0.9997429629265038,182806,6
inscr_process,0.9386829857863968,171641,7
year_of_find,0.85254822179565,155891,899
letter_size,0.8511481900761814,155635,3596
support_material,0.8459363532455032,154682,59
depth_cm,0.8398877787074863,153576,177
present_location,0.7975422880674641,145833,4762
width_cm,0.7913296473123219,144697,353
height_cm,0.7890983467594188,144289,345
support_objecttype,0.7480489792346858,136783,39
type_of_inscription,0.718232678709127,131331,43
keywords_term,0.716225601986295,130964,16
trismegistos_uri,0.6875741716023254,125725,56916
diplomatic_text,0.6640798893099922,121429,59611
pleiades_id,0.6640033250753338,121415,1789
text_edition,0.6640033250753338,121415,58234
support_decoration,0.6640033250753338,121415,2
material_clean,0.6639978562014296,121414,29
findspot_clean,0.6639978562014296,121414,18058
last_update,0.6639978562014296,121414,3995
work_status,0.6639978562014296,121414,6
findspot_ancient_clean,0.6639978562014296,121414,1876
modern_region_clean,0.6639978562014296,121414,529
type_of_inscription_clean,0.6639978562014296,121414,23
country_clean,0.6639978562014296,121414,43
clean_text_interpretive_sentence,0.6639978562014296,121414,57624
type_of_monument_clean,0.6639978562014296,121414,39
province_label_clean,0.6639978562014296,121414,66
findspot_modern_clean,0.6639978562014296,121414,7477
transcription,0.6639978562014296,121414,59973
EDH-ID,0.6630189277725823,121235,61618
status_notation,0.39467769191645746,72168,1480
urban_context_pop_est,0.22391757313251628,40944,147
urban_context_city,0.22391757313251628,40944,1045
inscr_type,0.18913006622806297,34583,177
type_of_inscription_auto,0.13846094950588725,25318,22
status,0.13822031905410356,25274,6271
partner_link,0.11631747906788513,21269,160731
raw_dating,0.035203141321170556,6437,5622
inscription,0.012359655023434125,2260,167490
clean_text_interpretive_word_EDCS,0.012359655023434125,2260,160035
province,0.012272153040967335,2244,65
EDCS-ID,0.012272153040967335,2244,180609
place,0.012272153040967335,2244,10907
clean_text_interpretive_word,7.109536075426709e-05,13,161762
clean_text_conservative,7.109536075426709e-05,13,164597
LIST-ID,0.0,0,182853
people,0.0,0,38538
findspot_ancient_certainty,0.0,0,2
modern_region_certainty,0.0,0,2
country_certainty,0.0,0,2
type_of_inscription_certainty,0.0,0,2
type_of_monument_certainty,0.0,0,2
province_label_certainty,0.0,0,2
findspot_certainty,0.0,0,2
not_before,0.0,0,452
not_after,0.0,0,491
findspot_modern_certainty,0.0,0,2
Longitude,0.0,0,10110
urban_context,0.0,0,4
geometry,0.0,0,10140
Latitude,0.0,0,10092
type_of_inscription_auto_prob,0.0,0,1206
